Defect ID,Severity,Area,Status,Reproduction,Expected,Actual,Evidence,Fix commit,Automated regression,Focused retest,Adjacent regression
GC-USAB-001,P1,Gateway access,Fixed locally; focused retest passed; final regression pending,"Run the baseline auth matrix and exercise notifications target/rule CRUD plus test routes as a non-operator principal","Every notifications operation is explicitly operator-only and non-operator principals are denied","The notifications family fell through the explicit access matrix; review also found the engineering-learnings family missing an explicit contract","artifacts/verification/2026-07-29T17-24-12-821Z-auth-matrix-b9c08c27/summary.md; apps/gateway/src/routes/route-access.ts",6a9df3f21cc78279fa12859aa6cb59481c95d138,"apps/gateway/src/routes/route-access.test.ts; apps/gateway/src/plugins/auth.test.ts","Passed: artifacts/verification/2026-07-29T19-20-11-850Z-auth-matrix-618e9c0a/summary.md","Final-SHA auth matrix and full verification pending"
GC-USAB-002,P1,Gateway Chat recovery,Fixed locally; focused and live retests passed; final-SHA/Postgres restart pending,"Inject an OpenAI Responses server_error near the shared deadline; restart during streaming; recover exact-heartbeat and normal active turns; complete a durable stream and immediately submit the next turn","Retry only eligible pre-output transient failures when backoff plus a 5-second secondary window fits the shared deadline; never replay emitted output; run tool compatibility retry only for an actual tool-protocol failure; preempt only an exact heartbeat occurrence; do not emit terminal done before the exact durable terminal handoff releases admission","Provider server_error terminated Chat; normal active-turn recovery raised STATE_CONFLICT; repeated 4551 ms attempts exhausted the turn; live proof then showed message_done/done while the completed turn still held admission, so an immediate second send failed as not_preemptible","User screenshot codex-clipboard-3f0030ab-2b78-479d-adc7-423511961d4f.png; artifacts/verification/2026-07-29T19-57-53-911Z-live-provider-preqa-9c136ca0/provider-results/chatgpt-live-provider-pack.json; associated Gateway logs",6a9df3f21cc78279fa12859aa6cb59481c95d138,"llm-completion-service transient/deadline/output tests; durable-run-service delayed post-commit terminal handoff and next-admission tests; gateway/chat-stream-runtime terminal barrier tests; session-control and heartbeat exact-match tests; SQLite/Postgres admission repository regressions","Durable recovery passed 3/3 at artifacts/verification/2026-07-29T19-47-57-693Z-durable-recovery-0fcb348c; immediate second live send and all six provider probes passed at artifacts/verification/2026-07-29T20-38-19-757Z-live-provider-preqa-05cca9b6","Final-SHA durable recovery, complete Chat journey, and campaign Postgres restart/parity remain pending"
GC-USAB-003,P2,Durable delegation,Fixed locally; persisted-grant retest passed; queue rescan pending,"Inspect Standard finding 1671; delegate work with scoped browser grants; reconstruct the tool-grant repository before reading the child grants","Keep the authoritative durable patch and persist both the inherited scoped browser grant and child submit_work_result grant while discarding only the unused returned projection","The analyzer reported a dead runningStep assignment; the prior regression did not prove the delegated grants survived repository reconstruction","GitHub Standard finding 1671; apps/gateway/src/services/chat-delegation-service.ts",6a9df3f21cc78279fa12859aa6cb59481c95d138,apps/gateway/src/services/gateway-service.delegation.test.ts,"Focused delegation tests passed locally with a concrete InMemoryToolGrantRepository reconstructed before asserting the inherited browser grant and submit_work_result; the earlier agentic proof passed 17/17 at artifacts/verification/2026-07-29T19-48-51-906Z-agentic-proof-a9a24200/summary.md","Final-SHA agentic proof and Standard queue rescan pending"
GC-USAB-004,P2,Work Passport route,Fixed locally; queue rescan pending,"Inspect Standard findings 1669 and 1670 and register the route plugin with both test arguments","The Fastify plugin accepts its options argument without changing route behavior","The plugin signature omitted the intentionally ignored options parameter","GitHub Standard findings 1669 and 1670; apps/gateway/src/routes/work-passport.ts",6a9df3f21cc78279fa12859aa6cb59481c95d138,Existing Work Passport route tests retain both arguments,"Focused Gateway tests passed during implementation; no dedicated retained artifact","Final Gateway suite and Standard queue rescan pending"
GC-USAB-005,P2,Gateway auth and SSE,Fixed locally; AI rescan pending,"Exercise query-bearing onboarding/SSE URLs and issue actor-scoped SSE tokens at capacity with interleaved actors","Parse reachable path values; collect actor keys once in insertion order; evict only the oldest actor prefix while preserving other actors and token lifecycle semantics","Two unreachable nullish URL fallbacks and repeated full token-store scans were reported","GitHub AI findings in apps/gateway/src/plugins/auth.ts; apps/gateway/src/plugins/auth.test.ts",6a9df3f21cc78279fa12859aa6cb59481c95d138,"Query-bearing onboarding route; mixed-actor oldest-prefix eviction; existing issuance/expiry/one-time-use lifecycle tests","Auth matrix passed at artifacts/verification/2026-07-29T19-20-11-850Z-auth-matrix-618e9c0a","Authenticated AI rescan and final auth regression pending"
GC-USAB-006,P2,Chat terminal content,Fixed locally; AI rescan pending,"Complete a response with terminal content when no delta was emitted","Preserve terminal content and synthesize deltas with one finalText assignment","The no-delta message_done branch assigned finalText a second time","GitHub AI finding in apps/gateway/src/services/chat-turn-stream-service.ts",6a9df3f21cc78279fa12859aa6cb59481c95d138,Focused stream terminal-content and synthesized-delta regressions,"Live provider terminal output passed in artifacts/verification/2026-07-29T20-38-19-757Z-live-provider-preqa-05cca9b6","Authenticated AI rescan and full Chat journey pending"
GC-USAB-007,P2,Work Passport classification,Fixed locally; AI rescan pending,"Classify: Debug the software API and compare the tax and investment data.","Persist engineering and finance domains with mixed boundary; moderate consequence; independent_review posture; valid record","No deterministic mixed engineering-plus-finance case protected the classification contract","GitHub AI finding in apps/gateway/src/services/work-passport-service.test.ts",6a9df3f21cc78279fa12859aa6cb59481c95d138,apps/gateway/src/services/work-passport-service.test.ts,"Focused Gateway test passed during implementation; no dedicated retained artifact","Authenticated AI rescan and final Gateway suite pending"
GC-USAB-008,P1,Storage fail-closed parsing,Fixed locally; live Postgres regression pending,"Persist null optional authority bindings; then corrupt durable_run_id operator_id or auth_actor_id with a non-string value and read both the full row and narrow scope","Null remains valid; malformed optional authority bindings fail closed in full-row and narrow authorization-scope reads","Full-row validation was incomplete and the narrow scope lookup directly cast nullable authority fields","GitHub AI finding in packages/storage/src/chat-turn-capability-profile-repo.ts",6a9df3f21cc78279fa12859aa6cb59481c95d138,packages/storage/src/chat-turn-capability-profile-repo.test.ts,"Focused SQLite tests passed during implementation; no dedicated retained artifact","Live Postgres and final storage parity lanes pending"
GC-USAB-009,P2,Migration parity harness,Fixed locally; AST edge retest passed; AI rescan pending,"Append a synthetic migration group with varied indentation CRLF tail comments a nested decoy registry and an existing registry array with no trailing comma","Use the TypeScript AST to locate exactly one top-level migration-group array; insert a syntactically valid element before its closing bracket whether or not the previous element has a trailing comma; preserve formatting comments owner provenance and append-only checks","String/regex insertion depended on one whitespace marker; the first AST form also needed an explicit no-trailing-comma edge contract","GitHub AI finding in scripts/verify-storage-migration-parity.test.mjs",6a9df3f21cc78279fa12859aa6cb59481c95d138,scripts/verify-storage-migration-parity.test.mjs,"Focused migration-parity tests passed locally for indentation CRLF comments owner provenance append-only validation and the no-trailing-comma edge; no retained campaign summary","Final migration parity lane and authenticated AI rescan pending"
GC-USAB-010,N/A,Migration tripwire,Documented false positive; AI rescan pending,"Review the suggestion to derive reviewed migration counts and heads from the generated manifest","Retain independent literal SQLite/Postgres baseline tripwires with an intention comment","The suggested change would allow an accidental registry-plus-manifest edit to self-certify","GitHub AI finding in scripts/verify-storage-migration-parity.test.mjs; docs/security/findings-triage.md",N/A,"Independent literal assertions remain; triage evidence added",Source review complete,"Authenticated AI rescan must confirm disposition; no product pass is claimed from a non-empty AI page"
