Gate,Command or source,Required,Status,Final SHA,Artifact or blocker
Usability,pnpm verify:usability,Yes,Third final-mode attempt passed 34 scenarios; strict locator and accessibility closure passed 74/74 focused actions; complete rerun pending,,"At clean SHA edd88625d81e4043c48adc95b795f1dec4ec3975 the third final-mode campaign passed 34 scenarios before Settings Core/Auth/Provider stopped on six exact Provider controls; its concurrent Settings Governance bundle passed. GC-HARNESS-071 now polls exact accessible labels for the full deadline, rejects duplicate/noneditable matches, and returns no mutable nth locator. GC-USAB-068 gives implicit Settings/Library controls concise visible-label names and disambiguates Projects, Citadel, Prompt Pack, Permission, and MCP forms. Pinned Node 22 harness tests pass 85/85, relevant Mission Control UI tests pass 45/45 with typecheck and formatting clean, and artifacts/verification/preqa-focused-strict-editable-all-actions-r4 passes all 10/10 scenarios and 74/74 actions with zero failed, degraded, skipped, or not-configured rows. Both the third final-mode root and passing focused root pass exact-root redaction. The stopped full run is diagnostic evidence; a new committed SHA requires the complete final-mode campaign."
All verification,pnpm verify:all,Yes,Pending,,Not run to completion at a final SHA
Auth matrix,pnpm verify:auth:matrix,Yes,Pending,,Interim pass: artifacts/verification/2026-07-29T19-20-11-850Z-auth-matrix-618e9c0a; final-SHA rerun required
Install,pnpm verify:install,Yes,Pending,,Interim source install-smoke pass 7/7: artifacts/verification/2026-07-29T20-04-25-180Z-install-smoke-43691d58. GC-HARNESS-052/053 shared signed/unsigned lifecycle contracts and the packaging suite pass; exact installer lifecycle not yet executed
Runtime truth,pnpm verify:runtime:truth,Yes,Pending,,Fresh isolated restart/resume proof passed at artifacts/verification/2026-07-30T01-53-00-789Z-runtime-truth-fdd182b2 with distinct Gateway PIDs same-endpoint durable continuation and canonical browser cross-check; final-SHA rerun required
Durable recovery,pnpm verify:durable:recovery,Yes,Pending,,Interim pass 3/3: artifacts/verification/2026-07-29T19-47-57-693Z-durable-recovery-0fcb348c; final rerun must include later GC-USAB-002/017 changes
Agentic proof,pnpm verify:agentic:proof,Yes,Pending,,"Interim pass 17/17: artifacts/verification/2026-07-29T19-48-51-906Z-agentic-proof-a9a24200; persisted delegated browser and submit_work_result grants pass focused repository reconstruction. The complete focused Chat Chromium bundle passed exact three-child delegation, two-way fan-in, synthesis, blocker resume, watcher restart correlation, governed Code Mode, and separate approval/user-input capability-profile reads bound to each canonical durable payload.requestActor and correlated session/workspace/turn/run/profile identity/hash at artifacts/verification/2026-07-30T04-28-22-427Z-usability-browser-actions-21d5c12c. The preceding over-strict token-actor harness failure remains recorded at artifacts/verification/2026-07-30T04-25-51-636Z-usability-browser-actions-c9e02ebe; final-SHA named proof and full campaign reruns remain required"
Memory truth,pnpm verify:memory:truth,Yes,Pending,,Interim pass 1/1: artifacts/verification/2026-07-29T19-48-21-284Z-memory-truth-aad9c2b2
Realtime truth,pnpm verify:realtime:truth,Yes,Pending,,"Fresh isolated pass 2/2 at artifacts/verification/2026-07-30T05-25-07-548Z-realtime-truth-c268323c. Both realtime scenarios also passed inside artifacts/verification/2026-07-30T05-00-24-025Z-usability-5d770247; that full artifact stopped afterward on GC-HARNESS-047 cross-category artifact-alias validation, not a product or realtime failure. Final-SHA complete-campaign rerun remains required"
Surface regression,pnpm verify:surface:regression,Yes,Focused exact pass; final-SHA campaign pending,,"After GC-USAB-065, artifacts/verification/2026-07-30T11-53-09-426Z-surface-regression-634db5a6 passed 74/74 with direct aliases 3/3, frozen legacy-query redirects 20/20, every shipped route, mobile Chat and Ops, and native-stage scroll; zero failed degraded skipped or not-configured rows. Final-SHA rerun remains required."
