Route,Status,Surface,RequiredAction,ManualCaseIds,ReadyProbe,Notes,Result,Evidence,FollowUpIssue
"/chat","ship","Chat","Send a Chat turn and inspect model/tool/runtime context.","CHAT-01, CHAT-02, CHAT-04","threaded surface data-mode chat","Core conversation lane.","","",""
"/cowork","hide","Chat","Legacy planning route normalizes to Chat.","COWORK-01, COWORK-02","threaded surface data-mode chat","Compatibility redirect.","","",""
"/cowork/tasks","hide","Ops","Legacy task route normalizes to Ops Kanban.","COWORK-03","kanban page","Compatibility redirect.","","",""
"/cowork/board","hide","Ops","Legacy board route normalizes to Ops Kanban.","COWORK-04","kanban page","Compatibility redirect.","","",""
"/code","hide","Chat","Legacy code route normalizes to Chat with governed code capabilities.","CODE-01, CODE-02, CODE-03","threaded surface data-mode chat","Compatibility redirect.","","",""
"/projects","ship","Projects","Continue Chat from project home.","PROJECTS-01","Project containers","Chat grouping.","","",""
"/library/agents","ship","Library","Inspect reusable agent profiles and catalog controls.","LIB-AGENTS-01","Agents","Profile catalog.","","",""
"/library/skills","ship","Library","Review skill activation posture and lifecycle evidence.","LIB-SKILLS-01","Skills","SKILL.md lifecycle.","","",""
"/library/capabilities","ship","Library","Inspect availability, degraded posture, callable/inspectable truth.","LIB-CAP-01","Capability browser","Catalog truth.","","",""
"/library/memory","ship","Library","Inspect/edit/forget/audit memory lifecycle.","LIB-MEM-01, LIB-MEM-02, CHAT-04","Memory","MemoryLifecycleService ownership.","","",""
"/library/knowledge","ship","Library","Inspect knowledge sources and provenance.","LIB-KNOW-01","Knowledge sources","Source visibility.","","",""
"/library/notes","ship","Library","Capture scoped notes/checklists/follow-ups.","LIB-NOTES-01","Notes","Separate from learned memory.","","",""
"/library/communications","ship","Library","Inspect inbox/agenda/contacts and approval-gated drafts.","LIB-COMMS-01","Communications","Governed comms.","","",""
"/library/files","ship","Library","Browse uploaded/workspace files.","LIB-FILES-01","directory page","Path jail matters.","","",""
