Environment,Storage,Profile state,Viewport or host,Provider or integration,Required,Status,Limitation or evidence
Source isolated,SQLite,Fresh,1440x1024 dark,Deterministic loopback,Yes,Interim foundation pass; final gate pending,"Foundation passed in artifacts/verification/2026-07-29T19-24-14-509Z-usability-576d81b8; its foundation assertion remains useful but the run is not accepted as complete action coverage because of GC-HARNESS-004"
Source isolated,SQLite,Persisted,1440x1024 dark,Deterministic loopback,Yes,Interim foundation pass; final gate pending,"Foundation passed in artifacts/verification/2026-07-29T19-24-14-509Z-usability-576d81b8; corrected full usability rerun pending"
Source isolated,SQLite,Persisted,390x844 light,Deterministic loopback,Yes,Interim foundation pass; final gate pending,"Foundation passed in artifacts/verification/2026-07-29T19-24-14-509Z-usability-576d81b8; corrected full usability rerun pending"
Source isolated,SQLite,Fresh and persisted,"desktop laptop narrow tablet mobile; light and dark",Deterministic fixtures,Yes,Interim focused passes; final gates pending,"Earlier surface/visual artifacts predate latest changes. The latest provider-backed mobile keyboard/touch lane passed 8/8 at artifacts/verification/2026-07-30T01-30-26-107Z-accessibility-smoke-e7b21008 with bounded reduced-viewport geometry and zero axe or touch-target failures; complete final-SHA surface/visual/accessibility reruns remain pending"
Source isolated,SQLite,Fresh,Desktop,openai-codex/gpt-5.6-sol,Yes,Interim live pass; final affected-journey rerun pending,"Four probes passed: send CHAT_OK, immediate second send SECOND_OK, retry source reply CHAT_OK, and edit EDIT_OK at artifacts/verification/2026-07-29T20-38-19-757Z-live-provider-preqa-05cca9b6"
Source isolated,SQLite,Fresh,Desktop,openai-codex/gpt-5.6-terra,Yes,Interim live smoke passed; final gate pending,"Exact TERRA_OK completed canonically in artifacts/verification/2026-07-29T20-38-19-757Z-live-provider-preqa-05cca9b6"
Source isolated,SQLite,Fresh,Desktop,openai-codex/gpt-5.6-luna,Yes,Interim live smoke passed; final gate pending,"Exact LUNA_OK completed canonically in artifacts/verification/2026-07-29T20-38-19-757Z-live-provider-preqa-05cca9b6"
Source isolated,SQLite,Fresh,Windows x64 source verifier,N/A,Yes,Interim source and ownership passes; packaged candidate pending,"Verifier-owned isolation was corrected under GC-HARNESS-005 and focused source desktop passed at artifacts/verification/2026-07-29T20-10-40-358Z-desktop-76dccbb8. GC-USAB-019 live source retest rejected the unchanged foreign default listeners with false readiness, conflict diagnostics, launch exit 1, and zero PID files"
Source isolated,SQLite,Fresh,Windows install-smoke,N/A,Yes,Interim source pass; exact candidate pending,"Install smoke passed 7/7 at artifacts/verification/2026-07-29T20-04-25-180Z-install-smoke-43691d58; this is not the Windows installer lifecycle verdict"
External-sources isolated,SQLite plus lane-owned native Postgres,Fresh,"desktop/mobile; light/dark",Deterministic loopback and synthetic external-source fixtures,Yes,Interim full lane pass; final-SHA rerun pending,"Nine checks, 4/4 browser combinations, 48/48 steps and hermetic PostgreSQL passed at artifacts/verification/2026-07-29T20-36-15-963Z-external-sources-d55970e3; inherited credential and DB URL scrub correction is GC-HARNESS-006"
Docker isolated,Postgres,Fresh then persisted,Compose project-scoped,Deterministic loopback,Yes,Exploratory unique-Compose parity and recovery passed; final clean-SHA rerun pending,"The unique Compose proof passed migration parity, storage 48/48, admission/heartbeat 7/7, Gateway auth 73/73, Gateway memory 3/3, and the live 9/9 same-database restart/no-replay/next-admission journey at artifacts/verification/2026-07-30T15-50-14-675Z-usability-postgres-recovery-3a1a4dae. Exact-root redaction and exact-project cleanup passed; the protected pre-existing container remained untouched."
Windows packaged,SQLite,Fresh then persisted,Windows x64 native host,Deterministic or disposable provider,Yes,Pending exact repaired candidate,"GC-USAB-019 and GC-USAB-063 are fixed locally and source-proven; the shared installer smoke is isolated and workflow-wired under GC-HARNESS-052/053. Exact installer SHA-256, installed version, cold/warm protocol UI, and packaged ownership/lifecycle proof remain pending"
Windows packaged,SQLite,Existing operator state,Windows x64 native host,No fixture writes,Yes,Pending exact repaired candidate,"Snapshot before install, restore on any packaged failure, and leave a verified candidate installed only after the locally repaired launcher/activation behavior and full lifecycle pass. The shared clean-machine smoke refuses an existing protocol or package identity rather than overwriting operator state"
Hardware optional,N/A,N/A,Local AI device-specific,N/A,No,Optional,"Hardware absence must carry an explicit reason"
External integrations,N/A,Unconfigured,Sandbox or diagnostic path only,Deterministic fixtures,No,Optional,"No personal destination or real message; external-sources proof does not imply every integration is configured"
Source isolated,Host filesystem capacity,N/A,Repository and effective temp roots,N/A,Yes,Focused preflight contracts passed; full campaign pending,"GC-ENV-004 records the prior ENOSPC interruption. GC-HARNESS-054 now requires an 8 GiB reserve with portable statfs evidence before direct-usability prerequisites; a lower override is exploratory-only."
