Observation ID,Area,Type,Status,Observation,Evidence,Decision or follow-up
GC-OBS-001,Gateway,Usability,Open,"Terminal provider failures need concise operator diagnostics that distinguish retry budget output emission failure class recovery result and correlated session turn run identities","User screenshot and GC-USAB-002","Additive internal diagnostics are implemented locally; verify redaction and operator readability in final runtime journeys"
GC-OBS-002,Live provider,Interim evidence,Focused pass; final campaign pending,"A fresh isolated ChatGPT OAuth run completed six disposable probes: Sol send immediate-next-send retry and edit plus Terra and Luna sends; every probe recorded the requested effective provider/model exact output and a completed canonical turn","artifacts/verification/2026-07-29T20-38-19-757Z-live-provider-preqa-05cca9b6/provider-results/chatgpt-live-provider-pack.json","Focused artifact redaction scan passed; retain as interim provider proof only and repeat required affected journeys at final SHA"
GC-HARNESS-001,Surface regression,Harness validation,Corrected locally; focused rerun passed,"The first usability run treated valid uppercase visible Experimental text as malformed on all six experimental routes because the harness compared display text case-sensitively","artifacts/verification/2026-07-29T18-30-12-566Z-usability-51cb82a9/summary.md; scripts/verification/lib/scenarios/surface-regression-lane.mjs","Normalize visible badge text for comparison while retaining the exact accessible-label contract; current surface run passed 71/71 at artifacts/verification/2026-07-29T19-21-12-655Z-surface-regression-818d64d0"
GC-HARNESS-002,Accessibility,Harness validation,Corrected locally; focused reruns passed,"The first touch-target probe measured 13px checkbox inputs even when an associated label provided the actual larger activation target","artifacts/verification/2026-07-29T19-09-27-596Z-accessibility-smoke-2d8e820d/summary.md; artifacts/verification/2026-07-29T19-10-42-852Z-accessibility-smoke-34ac012b/summary.md","Measure the largest activation rectangle across a control and its associated labels; that correction retained the real unlabeled checkbox and 23px FilterPill product defects instead of hiding them"
GC-HARNESS-003,External sources,Harness validation,Corrected locally; focused lane passed,"The browser-flow fixture removed the isolated runtime skills directory, which could hide capability identity or sealing regressions while still returning a green external-sources result","artifacts/verification/2026-07-29T18-58-56-281Z-external-sources-a503f9d0/manifest.json; scripts/verification/lib/scenarios/external-sources-browser-flow.mjs","Retain shipped bundled runtime skills; the current corrected flow passed all nine checks, 4/4 browser combinations, 48/48 steps, and its hermetic PostgreSQL proof at artifacts/verification/2026-07-29T20-36-15-963Z-external-sources-d55970e3"
GC-HARNESS-004,Usability route-action and capability evidence,Harness false-green risk,Corrections implemented locally; focused contracts pass; no complete action/capability pass,"The 91/91 usability result at 2026-07-29T19-24-14-509Z could mark individual route actions passed from broad suite success; the later exact unit-assertion probe still did not prove visible browser execution for each action, while capability membership alone did not prove actual invocation or expected denial by disposition","artifacts/verification/2026-07-29T19-24-14-509Z-usability-576d81b8; artifacts/verification/2026-07-29T20-38-24-140Z-usability-action-proof-probe-6fc9b282; scripts/verification/lib/scenarios/usability-action-evidence.mjs; scripts/verification/lib/scenarios/usability-capability-dispositions.mjs","Do not accept either artifact as complete route/action/capability coverage. The current machine-readable registry fails closed on missing/duplicate steps and requires browser-owned action evidence; capability grant-only and metadata-only false greens are closed under GC-HARNESS-036. Remaining exact bundles and the live capability sweep must pass before the gate can turn green."
GC-HARNESS-005,Desktop verification,Harness false-readiness risk,Corrected locally; focused rerun passed,"Independently of the product launcher defect, the desktop verifier inherited ambient GoatCitadel home/endpoints and could satisfy readiness from an unrelated already-running Gateway/UI; the discovery run reached that foreign Gateway and failed only when its SSE credential endpoint returned Unauthorized","artifacts/verification/2026-07-29T20-01-29-536Z-desktop-e404d1c8; scripts/verify-desktop.test.mjs; scripts/lib/desktop-verification-isolation.mjs","Use a lane-owned temporary runtime root and reserved loopback guard endpoints, scrub launcher auth values, require stopped/no-owned-PID truth, and make no request to foreign services. Source verifier proof passed at artifacts/verification/2026-07-29T20-10-40-358Z-desktop-76dccbb8. Separate product P1 GC-USAB-019 is locally repaired and source-proven; exact packaged proof remains pending"
GC-HARNESS-006,External-source environment isolation,Harness secret-exposure risk,Corrected locally; focused and full lane retests passed,"Direct browser-flow defaults used an empty scrub list and the standalone proof inherited the parent environment; provider credentials, database URLs, or connection strings could therefore reach build Gateway UI or storage children, although no persisted secret leak was observed","scripts/verification/lib/scenarios/external-sources-environment.mjs; scripts/verification/lib/scenarios/external-sources-browser-flow.test.mjs; scripts/verification/external-sources-proof.mjs","Resolve collectVerificationSecretEnvKeys whenever no explicit list is supplied; preserve explicit lists; scrub every child; ignore inherited database URLs; permit only the owning harness to re-add its new loopback PostgreSQL URL. Deterministic tests passed 6/6 and the full lane passed at artifacts/verification/2026-07-29T20-36-15-963Z-external-sources-d55970e3"
GC-HARNESS-007,Gateway focused-test fixture,Harness regression,Corrected locally; complete usability run still pending,"The first corrected usability prerequisite run failed Gateway shard 1 because the non-durable abort-signal test double did not implement the newly required runImmediateTransaction storage boundary; this was a test-host omission rather than a reproduced product failure","artifacts/verification/2026-07-29T20-29-27-122Z-usability-d968407e; apps/gateway/src/services/chat-turn-entry-service.abort-signal.test.ts","Add the immediate-transaction test double and retain the abort assertion; replacement run artifacts/verification/2026-07-29T20-41-13-244Z-usability-20943c9c has passed Gateway shard 1 in its still-running manifest, but no complete usability result is claimed"
GC-ENV-001,External sources PostgreSQL,Environment failure,Resolved by unchanged clean rerun,"The corrected external-sources lane passed contracts storage Gateway integration browser static scan and typecheck, but its first hermetic PostgreSQL process did not accept connections on 127.0.0.1 within 60 seconds","artifacts/verification/2026-07-29T19-14-36-057Z-external-sources-ccf0710c/manifest.json; artifacts/verification/2026-07-29T19-19-55-569Z-external-sources-23213003/manifest.json","Kept separate from product results; unchanged code passed all nine checks on a fresh isolated cluster"
