Wave,Scope,Status,Required proof,Artifact or note
00,Baseline and live queue snapshot,Passed snapshot only,"git/gh/authenticated browser source snapshot","Base 5568ac5d663d6ed902417c516262e6544bd19aa5; initial Standard queue 3 open; initial AI queue 7 across 5 files; final rescans pending"
01,Foundation access onboarding and disposable Chat,Focused passes; final gate pending,pnpm verify:usability,"Foundation assertions passed in artifacts/verification/2026-07-29T19-24-14-509Z-usability-576d81b8; GC-USAB-016 startup conflict is fixed and backup retested; the earlier usability run is not accepted as complete action coverage because of GC-HARNESS-004"
02,Seeded Gateway and quality repairs,Focused and live passes; final/queue proof pending,"focused tests; pnpm verify:auth:matrix; pnpm verify:durable:recovery","Auth matrix passed at artifacts/verification/2026-07-29T19-20-11-850Z-auth-matrix-618e9c0a; durable recovery passed 3/3 at artifacts/verification/2026-07-29T19-47-57-693Z-durable-recovery-0fcb348c; six-probe live provider pack passed at artifacts/verification/2026-07-29T20-38-19-757Z-live-provider-preqa-05cca9b6; final-SHA/Postgres restart and queue proof pending"
03,All routes redirects and responsive shell,Local degraded-state repairs passed focused tests; complete surface/visual gates pending,"pnpm verify:surface:regression; pnpm verify:visual:regression","Earlier surface 71/71 and visual 408/408 artifacts predate the latest changes. A hardened surface discovery at artifacts/verification/2026-07-29T21-57-35-863Z-surface-regression-eab68c76 found GC-USAB-021; Kanban Retry and Settings status semantics are fixed locally, but no complete replacement surface pass is claimed"
04,Keyboard accessibility touch and reflow,Interim focused pass; final gate pending,pnpm verify:accessibility:smoke,"The touch inventory now includes links and disclosure summaries and preserves fractional dimensions. Focused harness tests passed and the updated lane passed 7/7 at artifacts/verification/2026-07-29T21-56-44-192Z-accessibility-smoke-954f8c94; final-SHA rerun remains required"
05,Chat agentic approvals memory realtime and providers,Interim focused passes; exact agentic/durable/Code Mode and lifecycle bundles passed; final gates pending,"pnpm verify:agentic:proof; pnpm verify:durable:recovery; pnpm verify:memory:truth; pnpm verify:realtime:truth; exact Chat Chromium bundles","Runtime truth durable recovery memory truth realtime truth and agentic proof have interim passing artifacts; live Sol/Terra/Luna proof passed. Persisted delegation-grant reconstruction passes focused tests. After GC-USAB-053 through GC-USAB-057 and GC-HARNESS-038/039/042/043, artifacts/verification/2026-07-30T03-52-11-577Z-usability-browser-actions-9ebced76 passed all 4/4 exact planning/delegation, approval/user-input, restart, and governed Code Mode steps including reload, immutable artifacts, named proof, the Code Mode turn capability profile, and Run Detail. The first direct blocker-profile run failed only because its harness hardcoded a token actor instead of the canonical admitted durable actor at artifacts/verification/2026-07-30T04-25-51-636Z-usability-browser-actions-c9e02ebe. GC-HARNESS-042 now fetches both blocker profiles and validates each against its durable payload.requestActor plus session/workspace/turn/run/profile ID/hash; the replacement passed 4/4 at artifacts/verification/2026-07-30T04-28-22-427Z-usability-browser-actions-21d5c12c. The lifecycle run first failed on stale hidden Open right panel menu at artifacts/verification/2026-07-30T03-53-53-863Z-usability-browser-actions-052caca0 and then on GC-USAB-058 duplicate URL attachment state at artifacts/verification/2026-07-30T03-56-42-566Z-usability-browser-actions-2b0e4e69. After GC-HARNESS-044 and GC-USAB-058, artifacts/verification/2026-07-30T04-00-05-611Z-usability-browser-actions-c109b128 passed all 3/3 stop/retry edit/branch and attachment/citation/tool steps with zero browser errors"
06,Projects Library Ops Settings and action coverage,Tightened exact four-bundle pass and isolated capability-core pass; complete campaign rerun pending,"pnpm verify:usability; pnpm verify:external-sources; exact browser-action and capability-disposition evidence","External sources passed all nine checks, 4/4 combinations and 48 steps at artifacts/verification/2026-07-29T20-36-15-963Z-external-sources-d55970e3. The isolated Library content bundle passed 8/8 at artifacts/verification/2026-07-30T01-50-42-427Z-usability-browser-actions-b001a433 and the Ops exact bundles passed 17/17. Capability dispositions require 16 executed and result-validated tools, exact skill activation, mechanically bound named journeys, and explicit denied or limited rows. After GC-HARNESS-048 aligned approved-tool evidence with the canonical pending_action_execute effect and replay.pendingAction contract, focused contracts passed 28/28 and the exact isolated core passed 1/1 with no failed, degraded, skipped, or not-configured scenario at artifacts/verification/2026-07-30T05-53-27-281Z-usability-core-1e1fd695. The full campaign then passed 33/34 scenarios at artifacts/verification/2026-07-30T05-55-07-952Z-usability-11201255 before GC-USAB-060 stopped the final Settings bundle. After GC-USAB-060 GC-HARNESS-049 GC-USAB-061 and GC-HARNESS-050, the targeted replacement passed all 14/14 Settings governance/runtime/integration steps at artifacts/verification/2026-07-30T06-37-27-969Z-usability-ab8b39b1. GC-HARNESS-055 focused contracts passed 80/80. The final combined Library catalog/memory, Library content, Citadel, and Ops governance/reliability artifact passed 4/4 scenarios and 35/35 exact actions with zero failed, degraded, skipped, or not-configured rows at artifacts/verification/2026-07-30T10-18-22-155Z-usability-browser-action-integrity-final-clean-a43fcf11. The 09-33, 10-00, 10-07, 10-09, and 10-12 discovery/diagnostic roots remain non-evidence. The generated proof inventory remains 154 required rows, 83 route-action rows, and 76 Chromium registry entries; one complete corrected campaign and final-SHA proof remain pending."
07,SQLite and Docker/Postgres parity and restart,Local restart-crash repair passed focused/live reconnect proof; final Compose/final-SHA pending,"storage parity; unique Docker Compose restart/parity lanes","The discovery artifact artifacts/verification/2026-07-29T14-24-19-047-gcpreqa-docker-postgres persisted two canonical CHAT_OK turns and exposed GC-USAB-DISC-DP-001: Postgres restart triggered an unhandled-rejection Gateway exit. Mandatory pool-error handling and rejection-safe background tracking now pass focused/live reconnect proof locally; rebuild and clean unique-Compose restart/parity remain pending"
08,Windows x64 packaged/native candidate,Launcher and activation source repairs plus shared lifecycle contracts passed; exact packaged lifecycle pending,"pnpm verify:install; pnpm verify:desktop; managed-launcher ownership regression; Windows tests; shared signed/unsigned installer smoke; exact packaged activation UI proof","Install smoke passed 7/7 at artifacts/verification/2026-07-29T20-04-25-180Z-install-smoke-43691d58 and the isolated source desktop verifier passed at artifacts/verification/2026-07-29T20-10-40-358Z-desktop-76dccbb8 after GC-HARNESS-005. GC-USAB-019 ownership proof remains green. GC-USAB-063 closes cold/restart activation loss and redacted rejection diagnostics with 62/62 Windows tests, independent source approval, and a zero-warning x64 Release build. GC-HARNESS-052/053 route signed and unsigned workflows through an independently approved isolated fail-safe lifecycle smoke; all 51 packaging tests and workflow validation pass. No installer hash, installed version, or exact packaged activation/lifecycle claim exists yet."
09,Full final-SHA suite and second clean-profile smoke,Pending,"pnpm verify:all; pnpm verify:usability","GC-USAB-053 no longer blocks governed Code Mode and GC-USAB-058 no longer duplicates idempotent URL knowledge attachments: both focused exact Chat bundles passed. GC-HARNESS-045 closes the P1 artifact-boundary false-green risk with 27/27 focused contracts. The first full corrected usability attempt stopped in shard 2 at artifacts/verification/2026-07-30T04-29-20-599Z-usability-f35c4993 on GC-ENV-003 worker starvation; unchanged exact and 6/6 focused tests plus the identical 221-file shard rerun passed 2101/2101, with no product fix or pass claimed. The next attempt stopped in shard 3 at artifacts/verification/2026-07-30T04-36-51-239Z-usability-09c20d69 on GC-HARNESS-046 partial-facade composition; focused 104/104 and the identical shard rerun passed 2127 tests with 4 intentional skips. Shard 4 then found GC-USAB-059 blanket no-output repair suppression; the focused 206/206 pack and identical 220-file shard rerun passed 2269 tests with 1 intentional skip after the narrow repair. Artifact artifacts/verification/2026-07-30T05-00-24-025Z-usability-5d770247 then passed 16/16 prerequisite scenarios including every fast shard, auth, backup, runtime, and realtime scenario, but GC-HARNESS-047 made the manifest fail before downstream usability work by rejecting one owning scenario's intentional console alias across logs and playwright. The corrected ownership validator accepts and counts that cross-category alias once while still rejecting same-category duplicates and cross-scenario reuse; 35/35 contracts and the 11-test rerun passed, the prior named prerequisite assertion is accepted, and isolated realtime truth passed 2/2 at artifacts/verification/2026-07-30T05-25-07-548Z-realtime-truth-c268323c. Artifact artifacts/verification/2026-07-30T05-27-09-197Z-usability-d4a8cb25 then passed all 17 prerequisite and coverage scenarios with zero degraded, skipped, or not-configured records but stopped in foundation on GC-HARNESS-048 because the capability probe expected duplicated actionType truth rather than the canonical unique pending_action_execute effect plus replay pendingAction. The repaired probe passed 28/28 contracts and exact core passed 1/1 with zero failed, degraded, skipped, or not-configured scenarios at artifacts/verification/2026-07-30T05-53-27-281Z-usability-core-1e1fd695. No product or realtime failure is attributed to either harness stop, and no complete usability campaign is accepted; the remaining exact bundles, deployment boundaries, final SHA, complete campaign, and second clean-profile pass remain pending"
10,GitHub queue rescans PR checks and handoff,Pending,"Standard and AI rescans; additional final AI rescan; Code Quality; CodeQL","No final queue state PR head PR URL installer hash or QA-ready verdict claimed"
06B,Settings MCP discovery closure,Focused exact browser pass; complete campaign rerun pending,"MCP runtime/admin regressions; exact Settings Chromium bundle; artifact redaction","Fresh full artifact artifacts/verification/2026-07-30T06-38-36-529Z-usability-41f0376a passed 33/34 before GC-USAB-062 exposed JSON-RPC discovery errors becoming connected inferred tools. GC-HARNESS-051 now explicitly allows only the known stdio proxy's operator-token env key. Focused MCP tests passed 47/47, Gateway typecheck passed, and artifacts/verification/2026-07-30T07-15-29-021Z-usability-49d240dc passed all 14/14 Settings steps with redaction green. A complete corrected campaign remains required."
09A,Usability filesystem-capacity boundary,Focused preflight contracts passed; complete campaign rerun pending,"pnpm verify:usability; usability.preflight.disk-capacity","Artifact artifacts/verification/2026-07-30T08-05-40-153Z-usability-3ef58fdb stopped in storage coverage on GC-ENV-004 ENOSPC after the long Gateway prerequisite wave. GC-HARNESS-054 now retains a portable 8 GiB repository/temp capacity verdict before direct-usability prerequisites and focused contracts pass 33/33. The stopped run is not a storage or usability pass; unchanged storage and complete campaign reruns remain required."
09B,Final artifact and source integrity boundaries,Focused redaction source and live-provider contracts passed; final clean-SHA reruns pending,"pnpm verify:usability; pnpm verify:all; pnpm verify:usability:live-provider","GC-HARNESS-056 removes the mutable latest-run pointer from the usability leakage gate, scans the exact context artifact root after review generation, rejects nested links or other unsupported entries without dereferencing them, rejects a missing root, and now runs after failed-manifest/review generation instead of skipping the failure artifacts most likely to contain diagnostic secrets. GC-HARNESS-057 guards one source state before every direct-usability or all-lane prerequisite and verifies it again after the full orchestration on success or failure while preserving the original lane error and sanitizing any secondary integrity category. GC-HARNESS-058 retains and compares the live-provider completion source state. The combined focused pack passes 56/56, including pointer-race, missing-root, nested-link, failed-run ordering/aggregation, prerequisite HEAD drift, final HEAD drift, live-provider mismatch, and live-provider ordering cases; complete final-SHA executions remain pending."
09C,Usability temporary-volume performance boundary,Environment interruption classified; unchanged shard passed; complete campaign rerun pending,"pnpm verify:usability; fast.test.gateway.shard1","Artifact artifacts/verification/2026-07-30T10-24-33-366Z-usability-6f853347 stopped at Gateway shard 1 when the explicitly selected F: temp volume inflated unrelated SQLite-heavy operations into 84 test timeouts. GC-ENV-005 keeps that result separate from product truth. The exact unchanged shard passed 221/221 files and 2089/2089 tests in 3m18s on the isolated C: temp root at artifacts/verification/2026-07-30T10-39-28-920Z-fast-71ee75b8. The stopped artifact is not a product failure or campaign pass; rerun the complete campaign on C:."
09D,Backup atomic-snapshot and repair-routing closure,Focused product and harness passes; complete campaign rerun pending,"pnpm verify:backup:roundtrip; verification review contracts","The C:-pinned artifact artifacts/verification/2026-07-30T10-44-44-182Z-usability-c4a6bb32 passed fast and auth then stopped at GC-USAB-064 when live config atomic staging disappeared between recursive copy enumeration and lstat. The config-only pre-stat filter excludes recognized writer staging while canonical disappearance still fails with no partial publication; focused tests pass 16/16 and exact backup roundtrip passes 1/1 at artifacts/verification/2026-07-30T11-13-43-791Z-backup-roundtrip-5aa0f70d. GC-HARNESS-059 separately prevents assertOk from being labeled SSE and routes backup failures to the exact backup command; review contracts pass 10/10. The stopped campaign remains non-evidence and one complete rerun is required."
09E,Direct compatibility URL and repair-routing closure,Focused product and harness passes; complete campaign rerun pending,"pnpm verify:surface:regression; verification review contracts","Artifact artifacts/verification/2026-07-30T11-17-30-150Z-usability-9ef56ede passed 106 scenarios with zero skipped degraded or not-configured rows before stopping downstream work on GC-USAB-065: /cowork /code and /settings/safety rendered their canonical content but did not replace the legacy pathname. The exact allowlisted replacement preserves supported query state and fragments on mount and popstate. The replacement surface artifact artifacts/verification/2026-07-30T11-53-09-426Z-surface-regression-634db5a6 passed 74/74 including direct 3/3 frozen legacy-query 20/20 all shipped routes and mobile/scroll proof. GC-HARNESS-060 separately classifies these failures as route compatibility, deduplicates artifact refs, and routes repair to the exact surface lane; review contracts pass 11/11. The failed full artifact remains non-evidence and one complete corrected campaign is required."
09F,Full local Chromium wave and recovered SSE evidence closure,Focused harness contracts and exact Library retests passed; complete campaign rerun pending,"pnpm verify:usability; focused browser-action bundle; artifact redaction","Artifact artifacts/verification/2026-07-30T11-57-44-603Z-usability-21caaeea passed 34/35 scenarios with zero skipped degraded or not-configured rows and completed all 74/74 local Chromium steps. The sole failure was GC-HARNESS-061: one synthetic hard-navigation EventSource attempt received net::ERR_CONNECTION_FAILED while ordinary Gateway requests stayed healthy; the client reconnected in about 1.5 seconds. The unchanged exact Library bundle passed 10/10 before hardening at artifacts/verification/2026-07-30T12-31-47-399Z-usability-browser-actions-focused-a368eb23 and again with the hardened logger at artifacts/verification/2026-07-30T12-43-23-544Z-usability-browser-actions-sse-hardened-f8ecc61d. The hardened artifact retained 10 successful stream responses zero failures available diagnostics and zero acknowledgement. One recovery stays provisional through the original five-second deadline so a delayed repeat revokes it; all other incomplete evidence remains fatal. Focused contracts pass 47/47. The stopped full artifact remains non-evidence and is now correctly flagged by compressed scanning; the focused roots remain clean. One complete corrected campaign is required."
