Wave,Status,Stop condition,Command or owner,Required evidence,Artifact
Baseline and toolchain,Passed,None,"git/Node/pnpm inspection","Origin-main base SHA; clean isolated worktree; Node 22.23.1",Inline command evidence
Focused repair contracts,Passed,Any focused failure,"Node tests; shared Chat lint/typecheck/test; targeted Gateway Vitest","Exact assertions and zero-warning lint",Inline command evidence
Repeated durable timer proof,Passed focused candidate,Any iteration failure,"Targeted durable-run regression repetitions plus Gateway shard 2 twice","Three bounded focused iterations plus two 2126-test shards passed",Inline command evidence
Foundation fast lane,"Passed at clean source SHA e24a1a4c",Any P0-P1 or invalidating P2,pnpm verify:fast,"Install build test foundation and isolated roots",artifacts/verification/2026-08-02T21-15-14-651Z-fast-f7629530
Auth matrix,"Passed at clean source SHA e24a1a4c through strict and aggregate prerequisites",Any incorrect notification or operator authorization,pnpm verify:auth:matrix,"Operator-only notification CRUD/test and explicit denials",artifacts/verification/2026-08-02T20-39-40-837Z-usability-64295dd8
Runtime foundations,"Passed at clean source SHA e24a1a4c",Any startup health onboarding workspace provider or disposable Chat failure,"pnpm verify:runtime:truth; usability core","Runtime truth and second clean-profile usability core passed",artifacts/verification/2026-08-02T21-11-38-236Z-usability-core-e1d53d55
Durable recovery and fault journey,"Passed at clean source SHA e24a1a4c",Any replay admission or recovery invariant failure,"pnpm verify:durable:recovery; usability Gateway fault journey","Named durable lane and strict fault journeys passed; legacy terminal markers retire without callback replay",artifacts/verification/2026-08-02T21-36-42-144Z-all-bd64a15b
Usability campaign,"Passed at clean source SHA e24a1a4c",Any required skipped/not_configured or P0-P2,pnpm verify:usability,"151/151 verifier tests; all required browser journeys; 4/4 external-source combinations; 48/48 steps; no required skip or not_configured",artifacts/verification/2026-08-02T20-39-40-837Z-usability-64295dd8
Clean-profile core smoke,"Passed after the full campaign at clean source SHA e24a1a4c",Any core failure,pnpm verify:usability:core,"Second fresh-profile smoke after full campaign",artifacts/verification/2026-08-02T21-11-38-236Z-usability-core-e1d53d55
PostgreSQL parity and restart,"Passed at clean source SHA e24a1a4c",Any fallback or parity/restart failure,pnpm verify:usability:postgres-recovery,"Unique Compose ownership; storage=postgres; 30/30 contract tests; exact owned-resource cleanup",artifacts/verification/2026-08-02T21-14-12-681Z-usability-postgres-recovery-95be25df
Surface visual accessibility,"Passed at clean source SHA e24a1a4c",Any route geometry console or accessibility failure,"pnpm verify:surface:regression; pnpm verify:visual:regression; pnpm verify:accessibility:smoke","Production-bound surface passed; visual and accessibility lanes passed through aggregate",artifacts/verification/2026-08-02T21-36-42-144Z-all-bd64a15b
Named runtime truth lanes,"Passed at clean source SHA e24a1a4c",Any named lane failure,"verify:all plus runtime durable agentic memory realtime backup desktop external-sources","651 passed; 0 failed; 5 optional environment-gated skips; 21 optional scrubbed providers not configured; required PostgreSQL and live-provider lanes passed separately",artifacts/verification/2026-08-02T21-36-42-144Z-all-bd64a15b
Windows x64 candidate,"GC-USAB-076 and GC-HARNESS-096 fixed locally after the final isolated smoke exposed long-path callback escaping and false runtime isolation; rebuilt lifecycle pending",Any lifecycle or rollback failure,"Repository install/desktop packaging lanes plus packaged manual automation","Snapshot; installer hash; installed version; non-blank embedded UI; isolated mutable runtime; one-time legacy retirement; quiet auth-none status polling; launch/tray/protocol/restart/log/uninstall/reinstall","Original snapshot and failed-candidate quarantine retained under %LOCALAPPDATA%; exact scratch failure and cleanup logs retained under portable %TEMP% evidence"
Live provider smoke,"Passed at clean source SHA de51a01c",Any wrong provider model output or evidence leak,pnpm verify:usability:live-provider,"Disposable Sol send retry edit fork journey plus Terra/Luna smokes; no personal composer text; redaction and source integrity passed",artifacts/verification/2026-08-02T23-13-30-633Z-live-provider-preqa-c8bd66bf
Hosted quality and PR,"Current default-branch AI queue triaged; Standard post-push and PR-head checks pending",Any actionable Standard/AI/CodeQL finding or failing PR check,"GitHub queues and PR checks","Post-push Standard snapshot; PR Code Quality and CodeQL; post-merge AI wave explicitly outside the no-merge campaign boundary",docs/security/findings-triage.md
