Journey ID,Area,Required actions,Primary proof owner,Required,Status,Evidence
FOUND-01,Foundation,startup health onboarding workspace provider disposable Chat,verify:usability,Yes,Focused pass; complete corrected gate pending,Foundation in artifacts/verification/2026-07-29T19-24-14-509Z-usability-576d81b8; onboarding conflict repair GC-USAB-016; earlier run not accepted for complete action coverage
AUTH-01,Access,token basic device revoked persisted and non-operator denial,verify:auth:matrix,Yes,Focused pass; final gate pending,GC-USAB-001; artifacts/verification/2026-07-29T19-20-11-850Z-auth-matrix-618e9c0a
CHAT-01,Chat,send stream stop retry edit branch and session lifecycle,verify:usability plus focused Gateway/UI tests,Yes,Focused live and exact Chromium passes; final gate pending,GC-USAB-002 and GC-USAB-017; six-probe provider artifact artifacts/verification/2026-07-29T20-38-19-757Z-live-provider-preqa-05cca9b6; exact stop/retry edit/branch and lifecycle actions passed in artifacts/verification/2026-07-30T04-00-05-611Z-usability-browser-actions-c109b128
CHAT-02,Chat,files URLs audio images citations tools,verify:fast plus browser journeys,Yes,Focused exact Chromium bundle passed; final gate pending,"After GC-HARNESS-041/044 and GC-USAB-058, artifacts/verification/2026-07-30T04-00-05-611Z-usability-browser-actions-c109b128 passed the deterministic PNG/WAV and idempotent URL actions plus canonical attachment projection metadata knowledge-source citation tool-event and browser-health assertions. Failed discovery artifacts are artifacts/verification/2026-07-30T03-53-53-863Z-usability-browser-actions-052caca0 and artifacts/verification/2026-07-30T03-56-42-566Z-usability-browser-actions-2b0e4e69"
CHAT-03,Chat,planning research delegation synthesis approvals and user input,verify:agentic:proof plus durable recovery,Yes,Focused exact Chromium bundle and two-profile actor binding passed; final gate pending,"Agentic proof 17/17 passed at artifacts/verification/2026-07-29T19-48-51-906Z-agentic-proof-a9a24200. After GC-HARNESS-038 and GC-HARNESS-042, artifacts/verification/2026-07-30T04-28-22-427Z-usability-browser-actions-21d5c12c passed exact planning, three-child delegation, two-way fan-in, synthesized parent evidence, approval resume, user-input resume, durable watcher detach/reattach, and separate approval/user-input capability-profile reads bound to each canonical durable payload.requestActor and correlated session/workspace/turn/run/profile identity/hash. The preceding over-strict actor-expectation failure is retained at artifacts/verification/2026-07-30T04-25-51-636Z-usability-browser-actions-c9e02ebe"
CHAT-04,Chat,restart resume governed Code Mode patches validation artifacts Run Detail,durable recovery plus Code Mode lanes,Yes,Focused exact Chromium bundle passed; final gate pending,"Durable recovery 3/3 passed at artifacts/verification/2026-07-29T19-47-57-693Z-durable-recovery-0fcb348c. After GC-USAB-053 through GC-USAB-057 and GC-HARNESS-043, artifacts/verification/2026-07-30T03-52-11-577Z-usability-browser-actions-9ebced76 visibly passed Build editor, immediate Run log, approval-gated helper execution, reload hydration, immutable artifacts, named git diff --check proof, capability catalog/profile reads for the Code Mode turn, and correlated Run Detail"
PROJ-01,Projects,workspace and project CRUD isolation and revision conflicts,exact browser-action evidence plus surface browser,Yes,Complete exploratory browser pass; final-SHA pending,The corrected complete campaign executed the registered project and workspace create update conflict and isolation actions and passed 120/120 with zero failed degraded skipped or not-configured rows at artifacts/verification/2026-07-30T14-52-57-590Z-usability-aeec8486.
LIB-01,Library,agents capabilities skills activation memory lifecycle,agentic proof memory truth and capability-disposition evidence,Yes,Complete exploratory and core passes; final-SHA pending,"Persisted delegation grants, memory truth, capability dispositions, exact skill activation, and registered Library browser actions passed in focused proof and the complete 120/120 artifact artifacts/verification/2026-07-30T14-52-57-590Z-usability-aeec8486. The immediate fresh-profile core passed 1/1 at artifacts/verification/2026-07-30T15-29-30-881Z-usability-core-b5282435."
LIB-02,Library,knowledge external sources notes communications files artifacts,verify:external-sources plus exact browser-action evidence,Yes,Focused browser and external-source journeys passed; final gate pending,"External sources passed at artifacts/verification/2026-07-29T20-36-15-963Z-external-sources-d55970e3. The exact isolated Library bundle passed Notes conflict recovery, deterministic uncredentialed Communications list/agenda, approval-gated draft with zero external side-effect runs, Files upload/download, and Artifact download at artifacts/verification/2026-07-30T01-50-42-427Z-usability-browser-actions-b001a433"
LIB-03,Library,Prompt Pack author edit run selected run all compare review export,exact browser-action evidence plus route browser,Yes,Focused exact browser pass; final gate pending,"The exact isolated Chromium journey visibly authored and revised a two-test pack, ran TEST-91 then all tests, auto-scored and saved an operator review, benchmarked both tests across two deterministic models, inspected the comparison, and exported the report at artifacts/verification/2026-07-30T01-50-42-427Z-usability-browser-actions-b001a433"
