Claim,Source,ManualImplication,MustNotClaim
"Mission Control Next is canonical","AGENTS.md; docs/1_0_CONTRACT.md","Every release-bearing UI case starts in apps/mission-control-next routes.","Do not cite apps/mission-control as current implementation evidence."
"Gateway owns runtime truth","AGENTS.md; CANONICAL_RUNTIME_STATE_MODEL.md","UI should read runtime state through gateway APIs and show degraded/unknown honestly.","Do not accept UI-only state as canonical proof."
"Chat is the single primary conversation surface","AGENTS.md; 1_0_CONTRACT.md","Manual journeys must prove Chat carries planning, subagents, approvals, artifacts, and governed code capabilities.","Do not reintroduce Cowork or Code as separate primary panes."
"Durable execution owns shipped resumable flow set","CANONICAL_RUNTIME_STATE_MODEL.md","Approval wait, resume, restart, retry, dead-letter, and run detail must route through durable run truth.","Do not accept side-table/UI-only resume as durable proof."
"Code Mode is governed trusted-code","AGENTS.md; 1_0_CONTRACT.md; CAPABILITY_SYSTEM_V1.md","Check approval, policy snapshot, artifact hash, backend posture, and fail-closed metadata.","Do not claim general hostile-code sandboxing without exact proof."
"Capability catalogs are split","CAPABILITY_SYSTEM_V1.md","Inspectable proposals and inactive candidates may be visible, but only activated policy-allowed entries are callable.","Do not treat staged packs or proposals as callable tools."
"MemoryLifecycleService owns memory lifecycle","AGENTS.md; CANONICAL_RUNTIME_STATE_MODEL.md","List/edit/forget/history, proposals, feedback, and recall provenance must be visible and governed.","Do not imply invisible autonomous memory promotion."
"Experimental routes remain visible only with labels","1_0_RELEASE_SURFACE_SCOPE.md","Curator, Improvement, Kanban, Personalities, and Add-ons must not count as release-ready proof.","Do not describe experimental surfaces as finished 1.0 product behavior."
"Packaged Windows host is canonical desktop path","INSTALL_SETUP_TESTING.md; PACKAGING.md","Manual installer smoke must cover WinUI host, WebView routing, tray, protocol, status, and uninstall.","Do not use Tauri rollback host as Windows release proof."
"Docker is a boundary, not a policy replacement","AGENTS.md; 1_0_CONTRACT.md","Manual Docker smoke must still check auth, approvals, path jails, and deny-wins behavior.","Do not imply Docker bypasses app governance."
