Queue,Finding,Disposition,Status,Evidence,Next action
Standard,#1688 js/useless-assignment-to-local,"Remove only the unused recovery assignment; preserve exact recovery evaluation outside the polling loop",Fixed locally,scripts/verification/lib/scenarios/usability-browser-action-lane.mjs,Rescan after push
Standard,#1689 js/useless-assignment-to-local,"Remove the overwritten initial latestStatus value",Fixed locally,scripts/verification/lib/scenarios/usability-browser-action-lane.mjs,Rescan after push
Standard,#1687 cs/linq/missed-where,"Reject as non-actionable: explicit bounded loop preserves early return and out-parameter route extraction without LINQ allocation or obscured control flow",Documented rejection,apps/mission-control-windows/Services/ActivationDeliveryQueue.cs,Dismiss with evidence if API/UI permits
CodeQL,Open alerts,No open alerts in current API snapshot,Passed snapshot,gh code-scanning alerts query,Re-read at PR head
AI,Current default-branch snapshot,"Three findings in three files were enumerated in the authenticated GitHub UI on 2026-08-03",Triaged,"apps/gateway/src/routes/llm.loop23.test.ts; apps/mission-control-next/src/app/legacy-route-adapter.test.ts; packages/gateway-core/src/model-usage-accounting.test.ts",Keep exact dispositions below
AI,Fastify route registration,"Reject as non-actionable: register is synchronous and chainable while awaited inject owns boot and propagates setup errors",Documented rejection,apps/gateway/src/routes/llm.loop23.test.ts,"Inline ownership comment retained; focused route suite passed 4/4"
AI,Route inventory literals,"Keep the independent 42 shipped and 6 experimental baselines and explain their reviewed intent",Fixed locally,apps/mission-control-next/src/app/legacy-route-adapter.test.ts,Focused route adapter suite passed 18/18
AI,Cancel-first model usage settlement,"Add the missing reverse-order terminal idempotency proof including late failure late success and persisted usage immutability",Fixed locally,packages/gateway-core/src/model-usage-accounting.test.ts,Focused gateway-core suite passed 15/15
AI,Exact branch rescan,"GitHub AI analysis runs after default-branch pushes and exposes no manual rescan or API; a pre-merge branch cannot be rescanned without violating the no-merge boundary",Platform-limited,docs/security/findings-triage.md,"Re-read current default queue before merge; review the new AI wave after merge"
PR checks,Code Quality and CodeQL,Must pass at exact PR head,Pending,PR not opened,Run after push
