Gate,AutomatedLane,ManualEvidenceQuestion,ManualSpotCheck,ReleaseRisk,Result,Evidence,Notes
"operator proof","pnpm verify:operator:proof","Can a tester trace a complete operator story from action to evidence without hidden state?","Run a Chat/Cowork/Code flow and open Run Detail, Activity, and related artifact evidence.","Runtime may work but remain unexplainable to an operator.","","",""
"durable recovery","pnpm verify:durable:recovery","Does pause, approval wait, retry, restart, and resume stay tied to durable run truth?","Start a durable Cowork task, force restart if safe, resume and inspect run events.","Resume may be UI-only or lose work after restart.","","",""
"surface regression","pnpm verify:surface:regression","Do all 44 release-surface routes load with correct labels and status?","Use Route Coverage tab to visit every route.","Visible half-baked surface ships without label or action path.","","",""
"visual regression","pnpm verify:visual:regression","Do desktop/mobile dark/light surfaces remain readable and non-overlapping?","Sample Chat, Cowork, Code, Runtime, Providers, Memory, Approvals on desktop and mobile.","Automated screenshots miss workflow-level usability.","","",""
"catalog parity","pnpm verify:catalog:parity","Do visible catalog entries expose real actions or explicit blocked/degraded status?","Review Library Capabilities, Settings Tools, Integrations, Channels, MCP.","Catalog advertises actions that cannot run.","","",""
"API compatibility","pnpm verify:api:compat","Do REST/SSE clients receive additive behavior and readable errors?","Run key UI flows while watching network errors and SSE reconnection copy.","Existing clients break silently.","","",""
"runtime truth","pnpm verify:runtime:truth","Does UI label canonical, inferred, degraded, and unavailable state truthfully?","Trigger a degraded gateway source and verify copy does not show false stopped or zero telemetry.","Operators trust wrong state.","","",""
"auth matrix","pnpm verify:auth:matrix","Are privileged routes operator-only and do denied callers get clear failure copy?","Probe approval/control-plane actions with missing/invalid token in a safe environment.","High-risk controls accessible from wrong principal.","","",""
"code mode sandbox","pnpm verify:code-mode:sandbox","Does Code Mode surface backend, policy, approval, artifacts, and fail-closed isolation truth?","Create a Code Mode request that requires approval, then inspect backend metadata and hashes.","Unsafe or overclaimed code execution.","","",""
"hostile sandbox promotion","pnpm verify:code-mode:hostile-sandbox","If any hostile-code claim appears, is it exact-SHA and platform-scoped?","Search release copy and UI for hostile-code claims; confirm aggregate claim remains disallowed unless proof says otherwise.","Public security overclaim.","","",""
"mesh readiness","pnpm verify:mesh:readiness","Does Settings/Runtime show mesh readiness blockers and evidence without implying mesh replaces A2A?","Open Settings Runtime and Ops Runtime mesh diagnostics.","Distributed readiness overclaim.","","",""
"memory truth","pnpm verify:memory:truth","Do TTL, expiry, provenance, proposals, and feedback remain visible and governed?","Create/edit/forget memory and inspect lifecycle/history.","Silent or irreversible memory behavior.","","",""
"realtime truth","pnpm verify:realtime:truth","Are realtime events retained operator signals, not complete history?","Disconnect/reconnect SSE and verify replay-gap/fallback labels.","Operators mistake stream projections for history.","","",""
"backup roundtrip","pnpm verify:backup:roundtrip","Does backup verify distinguish integrity and contract coverage, and restore stay offline?","Create/list/verify backup, then read restore copy and live-route offline hint.","False restore guarantee.","","",""
"docs freshness","pnpm docs:check","Do public docs, UI copy, and implementation agree?","Review Observation Log and public claims before release.","1.0 truth drift.","","",""
